City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Victoria,HK,22.2855,114.1577,75.25,81,100,8.99,overcast clouds
276,Alto Araguaia,BR,-17.3147,-53.2153,76.46,59,41,2.26,scattered clouds
277,Zalesovo,RU,53.9939,84.7431,35.38,67,100,4.99,overcast clouds
278,Maragogi,BR,-9.0122,-35.2225,79.07,85,83,7.36,broken clouds
279,Kingsport,US,36.5484,-82.5618,72.52,58,100,6.91,overcast clouds
280,Banamba,ML,13.55,-7.45,86.13,11,22,1.57,few clouds
281,Port Blair,IN,11.6667,92.75,82.17,77,90,5.39,overcast clouds
282,Saldanha,ZA,-33.0117,17.9442,55.45,76,0,16.13,clear sky
283,Suzun,RU,53.7841,82.3116,36.16,59,69,4.25,broken clouds
284,Nador,MA,35.174,-2.9287,79.05,34,0,13.8,clear sky
285,Dallas,US,32.7668,-96.7836,73.49,39,20,19.57,few clouds
286,Portgordon,GB,57.6635,-3.016,44.53,76,75,6.91,broken clouds
287,Haines Junction,CA,60.7522,-137.5108,46.35,61,100,9.22,overcast clouds
288,Grand Gaube,MU,-20.0064,57.6608,73.38,77,0,1.01,clear sky
289,Fortuna,US,40.5982,-124.1573,62.92,79,33,1.99,scattered clouds
290,Tierralta,CO,8.1736,-76.0592,83.21,81,100,8.41,overcast clouds
291,Tiznit,MA,29.5833,-9.5,76.95,32,3,1.32,clear sky
292,Xining,CN,36.6167,101.7667,41.34,24,0,2.21,clear sky
293,Moerai,PF,-22.4333,-151.3333,74.17,70,97,9.17,overcast clouds
294,Betare Oya,CM,5.6,14.0833,67.57,97,96,3.27,overcast clouds
295,Sabha,LY,27.0377,14.4283,78.04,20,0,9.55,clear sky
296,Namibe,AO,-15.1961,12.1522,75.9,80,91,1.86,overcast clouds
297,Puerto Carreno,CO,6.189,-67.4859,78.78,94,20,6.91,few clouds
298,Alihe,CN,50.5667,123.7167,35.82,99,100,3.98,overcast clouds
299,Henties Bay,NA,-22.116,14.2845,60.48,82,2,5.5,clear sky
300,Khani,GE,41.9563,42.9566,42.37,100,100,3.0,overcast clouds
301,Merauke,ID,-8.4667,140.3333,77.77,88,48,8.34,scattered clouds
302,Benguela,AO,-12.5763,13.4055,78.08,84,100,4.9,overcast clouds
303,Esperance,AU,-33.8667,121.9,55.74,82,46,9.98,scattered clouds
304,Broken Hill,AU,-31.95,141.4333,50.52,58,7,5.84,clear sky
305,Penzance,GB,50.1186,-5.5371,52.48,91,100,6.67,overcast clouds
306,Tautira,PF,-17.7333,-149.15,81.66,79,61,11.65,broken clouds
307,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,73,75,8.05,light intensity drizzle
308,Vila Do Maio,CV,15.1333,-23.2167,77.79,82,2,10.29,clear sky
309,Tornio,FI,65.8481,24.1466,32.02,99,99,8.52,light snow
310,Porto Nacional,BR,-10.7081,-48.4172,86.0,74,83,3.33,light rain
311,Timizart,DZ,36.8,4.2667,73.0,41,100,2.57,overcast clouds
312,Moche,PE,-8.1711,-79.0092,77.18,73,20,11.5,fog
313,Beyneu,KZ,45.3167,55.2,75.02,26,26,11.1,scattered clouds
314,Sadove,UA,46.2487,30.1795,48.97,76,100,14.99,overcast clouds
315,Payo,ID,-3.7508,103.6372,73.51,98,100,1.45,moderate rain
316,Vao,NC,-22.6667,167.4833,74.95,62,100,5.88,overcast clouds
317,Kuala Kedah,MY,6.1,100.3,76.98,94,20,2.3,few clouds
318,Nemuro,JP,43.3236,145.575,43.09,99,100,24.4,moderate rain
319,Odienne,CI,9.51,-7.5692,80.47,52,45,6.08,scattered clouds
320,Presidente Olegario,BR,-18.4178,-46.4181,69.98,69,68,2.73,broken clouds
321,Kashi,CN,39.4547,75.9797,61.81,31,0,8.95,clear sky
322,Puteyets,RU,65.1716,57.091,18.68,94,10,4.85,clear sky
323,Le Creusot,FR,46.8071,4.4163,45.64,96,88,4.45,overcast clouds
324,Bondo,CD,3.8146,23.6866,68.63,97,99,2.98,overcast clouds
325,Geraldton,AU,-28.7667,114.6,52.21,54,99,8.05,overcast clouds
326,Disna,BY,55.568,28.1971,41.63,67,10,7.78,clear sky
327,Mollendo,PE,-17.0231,-72.0147,69.13,81,37,8.21,scattered clouds
328,Bonthe,SL,7.5264,-12.505,80.24,84,63,10.8,broken clouds
329,Flinders,AU,-34.5833,150.8552,60.19,85,99,8.99,overcast clouds
330,Husavik,IS,66.0449,-17.3389,26.28,57,3,1.48,clear sky
331,East London,ZA,-33.0153,27.9116,64.47,67,16,16.26,few clouds
332,Ust-Maya,RU,60.4167,134.5333,29.73,92,98,2.73,overcast clouds
333,Conakry,GN,9.538,-13.6773,82.47,83,40,9.22,scattered clouds
334,Beibei,CN,29.8256,106.4339,63.37,60,100,1.61,overcast clouds
335,Roald,NO,62.5833,6.1333,39.76,87,75,19.57,broken clouds
336,Kajaani,FI,64.2273,27.7285,33.85,86,0,6.91,clear sky
337,Sorong,ID,-0.8833,131.25,78.76,89,96,6.93,overcast clouds
338,Loreto,MX,22.2667,-101.9667,81.28,6,16,11.34,few clouds
339,Naze,JP,28.3667,129.4833,67.12,87,100,11.18,light rain
340,Eyl,SO,7.9803,49.8164,83.19,76,100,9.4,overcast clouds
341,La Ronge,CA,55.1001,-105.2842,52.02,34,75,11.5,broken clouds
342,Benton Harbor,US,42.1167,-86.4542,48.85,92,100,10.36,mist
343,Turan,VN,16.0678,108.2208,78.78,83,40,2.3,scattered clouds
344,Touros,BR,-5.1989,-35.4608,79.45,83,7,9.66,clear sky
345,Yulara,AU,-25.2406,130.9889,50.65,56,0,8.3,clear sky
